repository	link	type
Memoria Digital Catalunya	http://mdc.cbuc.cat/cgi-bin/getimage.exe?CISOROOT=/portalarca&CISOPTR=56667&DMSCALE=87.61682&DMWIDTH=750&DMHEIGHT=1220.50233645&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=0&DMROTATE=0	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=8100&REC=5	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=9908&REC=9	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=289&REC=14	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,17662	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,17663	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/llibimps16&CISOPTR=32076&REC=11	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/incunableBC,25442	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca2&CISOPTR=47230&CISOSHOW=47114&REC=1	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOROOT=%2FmaterialsBC&CISOOP1=any&CISOBOX1=santsalvador&CISOFIELD1=CISOSEARCHALL	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOROOT=%2FmaterialsBC&CISOOP1=any&CISOBOX1=riera,+rosa&CISOFIELD1=CISOSEARCHALL	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/llibimps16&CISOPTR=32076&REC=11	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/llibimps16&CISOPTR=33226&REC=7	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=3673&REC=15	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=8740&REC=7	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=788&REC=14	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=1370&REC=12	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=1053&REC=13	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=8821&REC=4	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=7066&REC=3	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=7966&REC=19	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca2&CISOPTR=47230&CISOSHOW=47114&REC=1	REG
